cond,y,isko,foxp3
ref,715,0,
naive,724,NO,plus
naive,729,NO,plus
naive,754,NO,plus
naive,729,YES,plus
naive,731,YES,plus
naive,742,YES,plus
nb,750,NO,plus
nb,768,NO,plus
nb,774.2,NO,plus
nb,774.9,NO,plus
nb,781.3,NO,plus
nb,744.5,YES,plus
nb,766.7,YES,plus
nb,777.8,YES,plus
nb,792,YES,plus
nb,860,YES,plus
naive,730.3,NO,minus
naive,746,NO,minus
naive,753,NO,minus
naive,735.4,YES,minus
naive,742.5,YES,minus
naive,766.7,YES,minus
nb,796,NO,minus
nb,802,NO,minus
nb,822.8,NO,minus
nb,824.8,NO,minus
nb,826.3,NO,minus
nb,786.4,YES,minus
nb,787.4,YES,minus
nb,844,YES,minus
nb,855,YES,minus
nb,862,YES,minus
